Index,ID,User_ID,Friends_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
42,1094436040142659584,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,1,2019-02-10 03:21:00,"After serious incidents, college study-abroad programs face pressure to focus on safety https://t.co/L3mgXtsnec"
43,1094431007321669632,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,4,12,2019-02-10 03:01:00,"Blackface left a stain in Minnesota yearbooks, too, writes @stribrooks. https://t.co/poYklaUQAf"
44,1094425974177972226,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,5,31,2019-02-10 02:41:00,"With relentless push, Minnesota nears goal of eradicating homelessness among veterans. https://t.co/IFiLx9J2uR https://t.co/cc9Ni6NVPS"
45,1094420940627140608,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,13,2019-02-10 02:21:00,Minnesota tribe asks: Can wild rice have its own legal rights? https://t.co/e298tetYaw https://t.co/kWrZvopFNp
46,1094415476287926272,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,15,2019-02-10 01:59:17,"Finally, after years of struggle, he tamed the mess in his mind, found a mission and now shares with others what he… https://t.co/OKEc0dKbdR"
47,1094415320524050432,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,10,2019-02-10 01:58:40,"Mental illness tormented Jake Sullivan as a teenager. He was trapped in misery, even as he became one of the most p… https://t.co/LxFqxsocsD"
48,1094411804313214978,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,4,4,2019-02-10 01:44:41,@gspphoto How to see Amy Klobuchar announcement on Sunday. https://t.co/IcyMcSsrFe
49,1094411389764956160,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-10 01:43:03,"@gspphoto As 2020 buzz grew, so did demand for Amy Klobuchar as TV guest. https://t.co/rnFnpGhAqN"
50,1094411249314553857,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,0,2019-02-10 01:42:29,"@gspphoto Who's in, who's out among possible 2020 Democratic candidates? https://t.co/KZW1zID0D0"
51,1094411119416860673,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-10 01:41:58,@gspphoto Eight things to know about Amy Klobuchar. https://t.co/E8qwvVvuS7
52,1094410885093879809,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,14,2019-02-10 01:41:02,Sen. Amy Klobuchar prepares to mix it up on the national stage with expected bid for president.… https://t.co/okItnqNKdi
53,1094406095626477569,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,6,3,2019-02-10 01:22:00,"From Costa Rica to New Jersey, pipeline of illegal workers for Trump goes back years https://t.co/5R0oby2XT2 https://t.co/U9HRoJGlgB"
54,1094400809096437761,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,7,2019-02-10 01:01:00,Horse in basement of Inver Grove Heights home spurs police to action https://t.co/PCmT6ozPYO
55,1094396033591853056,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-10 00:42:01,Runaway piglets and llamas on the loose: Minnesota animal catcher shares his secrets https://t.co/mIOT16GxuU https://t.co/SZZvKH9MSr
56,1094391501151444993,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,21,2019-02-10 00:24:01,Dozens sleep at Ramsey County Sheriff's Office to evade the cold https://t.co/14IlX73t8i
57,1094385966448631809,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,2,2019-02-10 00:02:01,"Can a family go on vacation without a rental car? Yes, with pleasure https://t.co/e7Zt7WHHPG https://t.co/4Sqa7PpyLZ"
58,1094381182710697984,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,7,2019-02-09 23:43:01,"Oil imports by rail from Canada have hit a historic high, meaning more oil trains are rolling across Minnesota and… https://t.co/Qy2ZLXPe3e"
59,1094375141205782528,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,8,7,2019-02-09 23:19:00,Two Minneapolis women have been convicted of operating fraudulent personal care attendant agencies as part of the l… https://t.co/WCKmsOnQoY
60,1094370866111107072,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-09 23:02:01,Blaine police ID husband and the wife he said he killed https://t.co/CzKq8w9hlw https://t.co/VOdbrwRlYb
61,1094365072393158656,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,1,2019-02-09 22:39:00,TV show 'Extra' suspends host to investigate misconduct https://t.co/jJpKGmL4la
62,1094359792469139458,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,2,2019-02-09 22:18:01,Why is hip-hop practically uninvited from the Grammys show? https://t.co/4NDQ8I1FSp https://t.co/qN4X6KVzFS
63,1094355512748109825,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,1,2019-02-09 22:01:01,Guard at Minnesota sex offender center accused of having sex with patient https://t.co/oIOTPsy5qa https://t.co/m0EtXPphUV
