Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
3,USATODAY,,,10,"Katy Perry, left, and Kacey Musgraves, right, flank Dolly Parton to sing ""Here You Come Again"" as part of a tribute to the country icon. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"Lady Gaga, right, get a congratulatory kiss on the cheek from Grammy host Alicia Keys after she wins best pop duo or group performance for ""Shallow,"" her duet with Bradley Cooper from ""A Star Is Born."" (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,"Lady Gaga (from left), Jada Pinkett Smith, Alicia Keys, Michelle Obama and Jennifer Lopez celebrate the power of music at the Grammys. (Photo: ROBERT HANASHIRO/USA TODAY)",(Photo: ROBERT HANASHIRO/USA TODAY)
3,USATODAY,,,10,Camila Cabello (in yellow) performs “Havana” during the opening of the 61st annual Grammy Awards. (Photo: ROBERT HANASHIRO/USA TODAY),(Photo: ROBERT HANASHIRO/USA TODAY)
4,USATODAY,https://www.usatoday.com/story/news/politics/2019/02/09/elizabeth-warren-officially-launch-2020-presidential-bid-massachusetts/2822314002/,"Published 11:04 a.m. ET Feb. 9, 2019 | Updated 2:11 p.m. ET Feb. 9, 2019",0,NA,NA
5,USATODAY,https://www.usatoday.com/story/life/people/2019/02/09/prince-philip-voluntarily-gives-up-drivers-license-following-crash/2823479002/,"Published 2:50 p.m. ET Feb. 9, 2019 | Updated 3:06 p.m. ET Feb. 9, 2019",0,NA,NA
6,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/10/feds-cvs-employee-stole-2-5-million-worth-diabetic-test-strips/2830382002/,"Published 12:51 p.m. ET Feb. 10, 2019 | Updated 4:37 p.m. ET Feb. 10, 2019",1,"Authorities say a New York man intercepted 20,203 boxes of diabetic test strips sent to CVS pharmacies. (Photo11: hattiesburgmemory / Flickr)",(Photo11: hattiesburgmemory / Flickr)
7,USATODAY,https://www.usatoday.com/story/news/politics/elections/2019/02/10/amy-klobuchar-2020-announcement/2829968002/,"Published 12:53 p.m. ET Feb. 10, 2019 | Updated 10:14 p.m. ET Feb. 10, 2019",0,NA,NA
8,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/05/smoking-ban-hawaii-aims-ban-cigarettes-tobacco-legislation/2774631002/,"Published 6:17 a.m. ET Feb. 5, 2019 | Updated 6:53 p.m. ET Feb. 5, 2019",1,American smoking rates decreased from 20.9 percent in 2005 to 15.5 percent in 2016. (Photo: Terroa / Getty Images),(Photo: Terroa / Getty Images)
9,USATODAY,https://www.usatoday.com/story/money/2019/02/10/jeff-bezos-american-media-elkan-abramowitz-this-week/2829977002/,"Published 11:36 a.m. ET Feb. 10, 2019 | Updated 6:26 a.m. ET Feb. 11, 2019",1,"Jeff Bezos accused  American Media Inc. (AMI) of blackmail and extortion and 'SNL' won't let him live it down. (Photo: Cliff Owen, AP)","(Photo: Cliff Owen, AP)"
10,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/10/virginia-gov-ralph-northam-blackface-scandal-first-interview/2829973002/,"Published 11:31 a.m. ET Feb. 10, 2019 | Updated 11:31 a.m. ET Feb. 10, 2019",1,"Virginia Gov. Ralph Northam and his wife, Pam, on Saturday. (Photo11: Steve Helber/AP)",(Photo11: Steve Helber/AP)
11,USATODAY,https://www.usatoday.com/story/life/tv/2019/02/10/snl-explains-when-its-ok-wear-blackface-never/2829263002/,"Published 1:44 a.m. ET Feb. 10, 2019 | Updated 10:59 a.m. ET Feb. 10, 2019",0,NA,NA
12,USATODAY,https://www.usatoday.com/story/life/music/2019/02/10/brandi-carlile-grammys-dolly-parton-studio-a-car-crash/2829848002/,"Published 9:51 a.m. ET Feb. 10, 2019 | Updated 11:10 a.m. ET Feb. 10, 2019",1,"Willie Nelson and Brandi Carlile perform ""It's All Wrong, But It's All Right."" (Photo11: Chris Pizzello, Chris Pizzello/Invision/AP)","(Photo11: Chris Pizzello, Chris Pizzello/Invision/AP)"
13,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/10/blackface-shows-how-deeply-rooted-antiblack-racism-america/2816801002/,"Published 12:00 p.m. ET Feb. 10, 2019 | Updated 6:00 p.m. ET Feb. 10, 2019",3,"Demonstrators hold signs and chant outside the Governors Mansion at the Capitol in Richmond, Va., Saturday, Feb. 2, 2019.  (Photo: Steve Helber, AP)","(Photo: Steve Helber, AP)"
13,USATODAY,,,3,"Virginia Gov. Ralph Northam, left, gestures as his wife, Pam, listens during a news conference in the Governors Mansion at the Capitol in Richmond, Va., Saturday, Feb. 2, 2019. Northam is under fire for a racial photo that appeared in his college yearbook. (Photo: Steve Helber, AP)","(Photo: Steve Helber, AP)"
13,USATODAY,,,3,"The cancellation came three days after Kelly's Oct. 23 show, in which she said that blackface Halloween costumes were acceptable when she was young as long as they were respectful. The next morning, she apologized on air, saying, ""I was wrong and I am sorry. She added, ""It is not OK for (blackface) to be part of any costume, Halloween or otherwise."" But the apology was not enough to save her show. (Photo: Nathan Congleton/NBC)",(Photo: Nathan Congleton/NBC)
14,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/10/virginia-justin-fairfax-ralph-northam/2829740002/,"Published 10:50 a.m. ET Feb. 10, 2019 | Updated 3:50 p.m. ET Feb. 10, 2019",1,"Virginia Lt. Gov. Justin Fairfax denies accusations of sexual assault. (Photo11: Drew Angerer, Getty Images)","(Photo11: Drew Angerer, Getty Images)"
15,USATODAY,https://www.usatoday.com/story/news/nation/2019/02/09/tennessee-doctors-marines-pain-cream-scam-tricare-choice-md/2822642002/,"Published 11:59 a.m. ET Feb. 9, 2019
        ",6,"Blue canisters of medicinal cream, seen here in a federal court exhibit, are at the core of a health care scheme that cost the military $65 million. (Photo: Federal court records)",(Photo: Federal court records)
15,USATODAY,,,6,"From left, Dr. Carl Lindblad, nurse practitioner Candace Craven and Dr. Susan Vergot have pleaded guilty to defrauding the military out of $65 million as part of a pain cream kickback scheme. This photo has been edited to protect the identity of an uninvolved person. (Photo: Courtesy of The Cleveland Daily Banner)",(Photo: Courtesy of The Cleveland Daily Banner)
15,USATODAY,,,6,"Choice MD, a now-closed doctor's office in Cleveland, Tenn., is the crux of an insurance fraud scheme that duped the military out of $65 million. (Photo: Brett Kelman/The Tennessean)",(Photo: Brett Kelman/The Tennessean)
15,USATODAY,,,6,"Federal authorities are attempting to seize this East Tennessee estate, which belongs to Jimmy and Ashley Collins. They are accused of defrauding the military out of $65 million. (Photo: Brett Kelman/The Tennessean)",(Photo: Brett Kelman/The Tennessean)
15,USATODAY,,,6,"Officials with federal and state agencies conducted court-authorized law enforcement activity in March at businesses throughout the state, including some in Hattiesburg. (Photo: File/Gannett Mississippi)",(Photo: File/Gannett Mississippi)
15,USATODAY,,,6,"Federal prosecutors are attempting to seize this shopping center in Cleveland, Tenn., which they say was bought by Jimmy and Ashley Collins with millions defrauded from the military. (Photo: Brett Kelman/The Tennessean)",(Photo: Brett Kelman/The Tennessean)
16,USATODAY,https://www.usatoday.com/story/life/music/2019/02/10/clive-davis-grammys-gala-2019-biggest-moments-travis-scott-nancy-pelosi-and-more/2829616002/,"Published 6:15 a.m. ET Feb. 10, 2019 | Updated 12:06 p.m. ET Feb. 10, 2019",2,"Travis Scott performs onstage during The Recording Academy and Clive Davis' 2019 Pre-GRAMMY Gala Show at The Beverly Hilton Hotel on February 09, 2019 in Beverly Hills, California. (Photo11: Scott Dudelson, Getty Images)","(Photo11: Scott Dudelson, Getty Images)"
16,USATODAY,,,2,"House Speaker Nancy  Pelosi, whose district includes San Francisco, got a warm greeting from stars like Barbra Streisand. (Photo11: Neilson Barnard, (Credit too long, see caption))","(Photo11: Neilson Barnard, (Credit too long, see caption))"
