Index,Source,P/C,,,,Count
182,"""J. Monroe Butler II\/Post-Gazette""",Professional - gazette,,,,1
183,"""Steve Griffin\/The Salt Lake Tribune via AP""",Professional - ap,,,,1
184,"""Matt Rourke\/Associated Press""",Professional - associated press,,,,2
185,"""Darrell Sapp \/ Post-Gazette """,Professional - gazette,,,,1
186,"""Gary Rotstein\/Post-Gazette""",Professional - gazette,,,,2
187,"""Doug Mills\/The New York Times via AP, pool""",Professional - ap,,,,1
188,"""Sgt. Mark Otte\/Texas Military Department via AP""",Professional - ap,,,,1
189,"""Morgan Lee\/AP""",Professional - ap,,,,1
190,"""Andrew Harnik\/AP""",Professional - ap,,,,3
191,"""Pool video image via AP""",Professional - ap,,,,2
192,"""Jeff PachoudAFP\/Getty Images""",Professional - getty,,,,1
193,"""U.S. Centers for Disease Control and Prevention via AP""",Professional - ap,,,,1
194,"""AP photo\/Alex Brandon""",Professional - ap,,,,2
195,"""Jerry Lara\/The San Antonio Express-News via AP""",Professional - ap,,,,1
196,"""AP photo\/Pavel Golovkin""",Professional - ap,,,,1
197,"""Andrew Scrivani\/The New York Times""",Professional - times,,,,1
198,"""Larry D. Horrick\/ABC""",Professional - abc,,,,1
199,"""Andreas Solaro\/AFP\/Getty Images""",Professional - getty,,,,1
200,"""Allegheny County Jail""",Professional - jail,,,,6
201,"""Paula Reed Ward\/Post-Gazette""",Professional - gazette,,,,2
202,"""Uma Sanghvi\/Palm Beach Post via AP""",Professional - ap,,,,1
203,"""pool video image via AP""",Professional - ap,,,,1
204,"""Haley Nelson\/Post-Gazette""",Professional - gazette,,,,3
205,"""Heather Mull""",                              ,,,,1
206,"""Chung Sung-Jun\/Getty Images""",Professional - getty,,,,1
207,"""AP photo\/Jeff Chiu""",Professional - ap,,,,1
208,"""AP photo\/Andrew Harnik""",Professional - ap,,,,7
209,"""Edinson Estupinan\/AFP\/Getty Images""",Professional - getty,,,,1
210,"""AP photo\/Marcio Jose Sanchez""",Professional - ap,,,,1
211,"""AP photo\/David Goldman""",Professional - ap,,,,1
212,"""Kathryn Mersmann\/NASA - Scientific Visualization Studio via AP""",Professional - ap,,,,1
213,"""AP photo\/Charles Krupa, pool""",Professional - ap,,,,1
214,"""Aris Oikonomou\/AFP\/Getty Images""",Professional - getty,,,,1
215,"""U.S. Navy photo by Mass Communication Specialist 3rd Class Raymond Maddocks""",Professional - navy,,,,1
216,"""Stacy Zarin Goldberg\/Washington Post""",Professional - washington post,,,,1
217,"""Anthony Conroy\/Post-Gazette""",Professional - gazette,,,,2
218,""" Gretchen McKay\/Post-Gazette""",Professional - gazette,,,,2
219,(Gretchen McKay\/Post-Gazette),Professional - gazette,,,,5
220,"""Win McNamee\/Getty Images""",Professional - getty,,,,3
221,"""David Black""",                              ,,,,1
222,"""Whitehall Public Library""",Professional - library,,,,4
223,"""PennDOT""",Professional - penndot,,,,1
224,"""Courtesy Carnegie Museum of Art""",Professional - carnegie museum,,,,1
225,"""Library of Congress collection""",Professional - library,,,,1
226,"""Post-Gazette file""",Professional - file,,,,5
227,(Harry Coughanour\/Post-Gazette),Professional - gazette,,,,1
228,(Stephanie Strasburg\/Post-Gazette),Professional - gazette,,,,3
229,"""Adam Smeltz\/Post-Gazette""",Professional - gazette,,,,2
230,"""Heller\/Post-Gazette""",Professional - gazette,,,,1
231,"""Chip Somodevilla \/ Getty Images""",Professional - getty,,,,2
232,"""Mandel Ngan\/AFP\/Getty Images""",Professional - getty,,,,6
233,"""Tracie Mauriello\/Post-Gazette""",Professional - gazette,,,,2
234,"""AP Photo\/Alex Brandon""",Professional - ap,,,,1
235,"""Saul Loeb\/AFP\/Getty Images""",Professional - getty,,,,4
236,"""Photo courtesy of Maryn Formely""",                              ,,,,3
237,"""Vu Ong\/Freeform""",Professional - freeform,,,,1
238,"""Alfonso Bresciani\/Freeform""",Professional - freeform,,,,1
239,"""AP photo\/Lee Jin-man""",Professional - ap,,,,1
240,"""Karim Sahib\/AFP\/Getty Images""",Professional - getty,,,,1
241,"""AP photo\/Ted S. Warren""",Professional - ap,,,,1
242,"""AP photo\/Richard Vogel""",Professional - ap,,,,1
243,"""Jamie McCarthy\/Getty Images""",Professional - getty,,,,1
244,"""AP photo\/Manu Fernandez""",Professional - ap,,,,1
245,"""Viorel Margineanu\/Dreamstime\/TNS""",Professional - tns,,,,1
246,"""AP photo\/Michael Dwyer""",Professional - ap,,,,1
247,"""AP photo\/Jay Reeves""",Professional - ap,,,,1
248,"""AP photo\/Nam Y. Huh""",Professional - ap,,,,2
249,"""Photo courtest of Voros family""",Citizen - family,,,,1
250,"""Joel Bissell\/Kalamazoo Gazette via AP""",Professional - ap,,,,1
251,""" (AP Photo\/Andrew Harnik)""",Professional - ap,,,,2
252,"""(SAUL LOEB\/AFP\/Getty Images)""",Professional - getty,,,,2
253,"""(AP Photo\/Andrew Harnik)""",Professional - ap,,,,2
254,""" (AP Photo\/Carolyn Kaster)""",Professional - ap,,,,2
255,"""(AP Photo\/J. Scott Applewhite)""",Professional - ap,,,,2
256,"""(AP Photo\/Alex Brandon)""",Professional - ap,,,,2
257,"""(MANDEL NGAN\/AFP\/Getty Images)""",Professional - getty,,,,2
258,"""Lorenzo Bevilaqua\/ABC via AP""",Professional - ap,,,,1
259,"""Mark Wilson\/Getty Images""",Professional - getty,,,,1
260,"""Yuri Kadobnov\/AFP\/Getty Images""",Professional - getty,,,,1
261,"""Venezuelan Presidency\/AFP\/Getty Images""",Professional - getty,,,,1
262,"""Liam McBurney\/AFP\/Getty Images""",Professional - getty,,,,1
263,"""Zach Gibson\/Getty Images""",Professional - getty,,,,1
264,"""Logan Cyrus\/AFP\/Getty Images""",Professional - getty,,,,1
265,(Lake Fong\/Post-Gazette),Professional - gazette,,,,4
266,"""Maura Losch \/ Pittsburgh Post-Gazette""",Professional - gazette,,,,2
267,"""Butler County Prison""",Professional - prison,,,,1
268,"""photo by Randal Coleman""",                              ,,,,1
269,"""Misra Records""",Professional - record,,,,1
270,"""Randal Coleman""",                              ,,,,2
271,(Misra Records),Professional - record,,,,1
